,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
0,Liga Profesional ,03/08/2012,Arsenal Sarandi,Union de Santa Fe,1.0,0.0,H,1.9,3.39,5.03
1,Liga Profesional ,04/08/2012,Velez Sarsfield,Argentinos Jrs,3.0,0.0,H,2.0,3.24,4.55
2,Liga Profesional ,04/08/2012,Racing Club,Atl. Rafaela,1.0,1.0,D,1.91,3.34,5.09
3,Liga Profesional ,04/08/2012,Colon Santa FE,Lanus,1.0,0.0,H,2.5,3.16,3.27
4,Liga Profesional ,04/08/2012,Quilmes,Boca Juniors,3.0,0.0,H,3.18,3.13,2.58
5,Liga Profesional ,05/08/2012,Newells Old Boys,Independiente,0.0,0.0,D,1.96,3.35,4.59
6,Liga Profesional ,05/08/2012,Godoy Cruz,All Boys,1.0,1.0,D,2.22,3.23,3.78
7,Liga Profesional ,05/08/2012,San Lorenzo,San Martin S.J.,2.0,1.0,H,1.91,3.25,5.17
8,Liga Profesional ,05/08/2012,River Plate,Belgrano,1.0,2.0,A,1.93,3.39,4.74
9,Liga Profesional ,07/08/2012,Tigre,Estudiantes L.P.,1.0,2.0,A,2.5,3.16,3.26
10,Liga Profesional ,10/08/2012,San Martin S.J.,Colon Santa FE,0.0,1.0,A,2.79,3.21,2.86
11,Liga Profesional ,11/08/2012,Lanus,Newells Old Boys,0.0,1.0,A,2.31,3.19,3.56
12,Liga Profesional ,11/08/2012,Estudiantes L.P.,River Plate,0.0,2.0,A,2.44,3.11,3.46
13,Liga Profesional ,11/08/2012,All Boys,Quilmes,1.0,1.0,D,2.65,3.11,3.06
14,Liga Profesional ,11/08/2012,Belgrano,San Lorenzo,0.0,0.0,D,2.56,3.15,3.19
15,Liga Profesional ,12/08/2012,Argentinos Jrs,Racing Club,0.0,2.0,A,2.77,3.08,2.94
16,Liga Profesional ,12/08/2012,Union de Santa Fe,Godoy Cruz,0.0,1.0,A,2.52,3.11,3.26
17,Liga Profesional ,13/08/2012,Boca Juniors,Tigre,2.0,0.0,H,1.98,3.34,4.51
18,Liga Profesional ,13/08/2012,Atl. Rafaela,Arsenal Sarandi,0.0,0.0,D,2.98,3.28,2.59
19,Liga Profesional ,14/08/2012,Independiente,Velez Sarsfield,0.0,0.0,D,3.42,3.15,2.41
20,Liga Profesional ,18/08/2012,Boca Juniors,All Boys,3.0,1.0,H,1.85,3.46,5.16
21,Liga Profesional ,18/08/2012,Colon Santa FE,Belgrano,2.0,2.0,D,2.15,3.2,4.04
22,Liga Profesional ,19/08/2012,San Lorenzo,Estudiantes L.P.,0.0,1.0,A,2.54,3.16,3.1
23,Liga Profesional ,19/08/2012,Racing Club,Independiente,2.0,0.0,H,2.41,3.08,3.49
24,Liga Profesional ,19/08/2012,Godoy Cruz,Atl. Rafaela,2.0,0.0,H,2.27,3.26,3.6
25,Liga Profesional ,19/08/2012,Velez Sarsfield,Lanus,0.0,2.0,A,2.09,3.19,4.28
26,Liga Profesional ,19/08/2012,Tigre,River Plate,2.0,3.0,A,2.71,3.02,3.07
27,Liga Profesional ,20/08/2012,Quilmes,Union de Santa Fe,2.0,1.0,H,2.09,3.18,4.3
28,Liga Profesional ,20/08/2012,Arsenal Sarandi,Argentinos Jrs,2.0,2.0,D,1.99,3.3,4.55
29,Liga Profesional ,20/08/2012,Newells Old Boys,San Martin S.J.,2.0,0.0,H,1.72,3.64,5.85
30,Liga Profesional ,25/08/2012,All Boys,Tigre,2.0,2.0,D,2.72,3.06,3.02
31,Liga Profesional ,25/08/2012,Union de Santa Fe,Boca Juniors,1.0,2.0,A,2.6,3.03,3.2
32,Liga Profesional ,25/08/2012,Argentinos Jrs,Godoy Cruz,2.0,1.0,H,2.44,3.19,3.32
33,Liga Profesional ,26/08/2012,Independiente,Arsenal Sarandi,0.0,2.0,A,3.07,3.12,2.64
34,Liga Profesional ,26/08/2012,Atl. Rafaela,Quilmes,1.0,1.0,D,3.01,3.02,2.76
35,Liga Profesional ,26/08/2012,Belgrano,Newells Old Boys,0.0,0.0,D,3.11,3.1,2.62
36,Liga Profesional ,26/08/2012,Lanus,Racing Club,1.0,1.0,D,2.11,3.18,4.23
37,Liga Profesional ,26/08/2012,San Martin S.J.,Velez Sarsfield,0.0,3.0,A,3.64,3.26,2.24
38,Liga Profesional ,26/08/2012,River Plate,San Lorenzo,0.0,0.0,D,1.88,3.49,4.8
39,Liga Profesional ,27/08/2012,Estudiantes L.P.,Colon Santa FE,1.0,2.0,A,2.25,3.16,3.74
40,Liga Profesional ,01/09/2012,All Boys,Union de Santa Fe,3.0,1.0,H,2.02,3.34,4.29
41,Liga Profesional ,01/09/2012,Newells Old Boys,Estudiantes L.P.,1.0,0.0,H,2.21,3.17,3.88
42,Liga Profesional ,01/09/2012,Arsenal Sarandi,Lanus,1.0,0.0,H,2.5,3.09,3.32
43,Liga Profesional ,02/09/2012,Velez Sarsfield,Belgrano,2.0,1.0,H,1.7,3.68,6.04
44,Liga Profesional ,02/09/2012,Tigre,San Lorenzo,1.0,1.0,D,2.52,3.22,3.14
45,Liga Profesional ,02/09/2012,Boca Juniors,Atl. Rafaela,2.0,1.0,H,1.65,3.95,6.01
46,Liga Profesional ,02/09/2012,Godoy Cruz,Independiente,2.0,1.0,H,2.06,3.32,4.13
47,Liga Profesional ,03/09/2012,Colon Santa FE,River Plate,1.0,1.0,D,2.54,3.16,3.16
