date,day,month,year,ball1,ball2,ball3,ball4,ball5,ball6,bonus
December 31st 2016 - 9pm,31st,Dec,2016,19,29,31,32,35,39,33
December 31st 2016 - 2pm,31st,Dec,2016,3,16,21,23,29,32,5
December 30th 2016 - 9pm,30th,Dec,2016,9,10,11,17,21,34,2
December 30th 2016 - 2pm,30th,Dec,2016,2,7,16,22,23,32,10
December 29th 2016 - 9pm,29th,Dec,2016,11,16,18,28,32,33,15
December 29th 2016 - 2pm,29th,Dec,2016,18,19,21,22,24,38,16
December 28th 2016 - 9pm,28th,Dec,2016,6,10,14,31,33,34,4
December 28th 2016 - 2pm,28th,Dec,2016,2,8,15,27,30,37,28
December 27th 2016 - 9pm,27th,Dec,2016,2,8,17,29,33,38,37
December 27th 2016 - 2pm,27th,Dec,2016,5,12,17,21,23,34,3
December 26th 2016 - 9pm,26th,Dec,2016,1,2,3,5,8,21,25
December 26th 2016 - 2pm,26th,Dec,2016,2,17,22,26,27,28,7
December 25th 2016 - 9pm,25th,Dec,2016,1,6,16,19,22,28,29
December 25th 2016 - 2pm,25th,Dec,2016,4,12,15,20,32,37,14
December 24th 2016 - 9pm,24th,Dec,2016,5,26,27,31,36,39,2
December 24th 2016 - 2pm,24th,Dec,2016,2,5,16,24,25,35,28
December 23rd 2016 - 9pm,23rd,Dec,2016,2,4,18,29,34,37,11
December 23rd 2016 - 2pm,23rd,Dec,2016,4,9,15,16,22,26,11
December 22nd 2016 - 9pm,22nd,Dec,2016,8,9,20,30,34,38,6
December 22nd 2016 - 2pm,22nd,Dec,2016,17,24,27,31,33,38,2
December 21st 2016 - 9pm,21st,Dec,2016,2,5,10,17,23,34,38
December 21st 2016 - 2pm,21st,Dec,2016,4,19,21,22,29,38,12
December 20th 2016 - 9pm,20th,Dec,2016,5,10,20,24,27,38,30
December 20th 2016 - 2pm,20th,Dec,2016,2,3,8,12,14,18,13
December 19th 2016 - 9pm,19th,Dec,2016,1,7,8,14,33,36,38
December 19th 2016 - 2pm,19th,Dec,2016,3,9,21,25,36,39,26
December 18th 2016 - 9pm,18th,Dec,2016,2,4,14,15,33,34,32
December 18th 2016 - 2pm,18th,Dec,2016,2,10,14,17,19,20,5
December 17th 2016 - 9pm,17th,Dec,2016,13,22,30,35,36,39,10
December 17th 2016 - 2pm,17th,Dec,2016,1,15,25,27,36,38,17
December 16th 2016 - 9pm,16th,Dec,2016,7,8,11,18,31,33,23
December 16th 2016 - 2pm,16th,Dec,2016,2,4,7,21,26,35,13
December 15th 2016 - 9pm,15th,Dec,2016,13,24,30,32,38,39,26
December 15th 2016 - 2pm,15th,Dec,2016,5,11,16,27,37,39,34
December 14th 2016 - 9pm,14th,Dec,2016,2,25,28,29,33,36,21
December 14th 2016 - 2pm,14th,Dec,2016,7,23,28,31,32,38,39
December 13th 2016 - 9pm,13th,Dec,2016,6,19,20,24,26,38,2
December 13th 2016 - 2pm,13th,Dec,2016,6,9,15,20,21,22,27
December 12th 2016 - 9pm,12th,Dec,2016,1,14,27,35,38,39,12
December 12th 2016 - 2pm,12th,Dec,2016,4,8,10,11,12,22,24
December 11th 2016 - 9pm,11th,Dec,2016,8,25,26,30,32,37,24
December 11th 2016 - 2pm,11th,Dec,2016,14,16,20,30,35,39,26
December 10th 2016 - 9pm,10th,Dec,2016,6,7,15,16,21,24,20
December 10th 2016 - 2pm,10th,Dec,2016,4,11,16,21,25,29,13
December 9th 2016 - 9pm,9th,Dec,2016,1,3,16,17,19,21,7
December 9th 2016 - 2pm,9th,Dec,2016,1,7,13,15,18,26,6
