,league,date,home,away,home_goals_ht,away_goals_ht,result_ht,home_goals_ft,away_goals_ft,result_ft,home_odds,draw_odds,away_odds,morethan_2.5_goals_odds
0,Premier League,2015-08-08,Bournemouth,Aston Villa,0,0,D,0,1,A,2.0,3.6,4.0,
1,Premier League,2015-08-08,Chelsea,Swansea,2,1,H,2,2,D,1.36,5.0,11.0,
2,Premier League,2015-08-08,Everton,Watford,0,1,A,2,2,D,1.7,3.9,5.5,
3,Premier League,2015-08-08,Leicester,Sunderland,3,0,H,4,2,H,1.95,3.5,4.33,
4,Premier League,2015-08-08,Man United,Tottenham,1,0,H,1,0,H,1.65,4.0,6.0,
5,Premier League,2015-08-08,Norwich,Crystal Palace,0,1,A,1,3,A,2.55,3.3,3.0,
6,Premier League,2015-09-08,Arsenal,West Ham,0,1,A,0,2,A,1.29,6.0,12.0,
7,Premier League,2015-09-08,Newcastle,Southampton,1,1,D,2,2,D,2.88,3.3,2.7,
8,Premier League,2015-09-08,Stoke,Liverpool,0,0,D,0,1,A,3.4,3.4,2.3,
9,Premier League,2015-10-08,West Brom,Man City,0,2,A,0,3,A,5.75,4.0,1.67,
10,Premier League,2015-08-14,Aston Villa,Man United,0,1,A,0,1,A,5.5,3.8,1.73,
11,Premier League,2015-08-15,Southampton,Everton,0,2,A,0,3,A,1.95,3.6,4.33,
12,Premier League,2015-08-15,Sunderland,Norwich,0,2,A,1,3,A,2.5,3.3,3.1,
13,Premier League,2015-08-15,Swansea,Newcastle,1,0,H,2,0,H,1.95,3.6,4.33,
14,Premier League,2015-08-15,Tottenham,Stoke,2,0,H,2,2,D,1.8,3.75,5.0,
15,Premier League,2015-08-15,Watford,West Brom,0,0,D,0,0,D,2.3,3.4,3.4,
16,Premier League,2015-08-15,West Ham,Leicester,0,2,A,1,2,A,2.25,3.5,3.4,
17,Premier League,2015-08-16,Crystal Palace,Arsenal,1,1,D,1,2,A,5.25,3.9,1.73,
18,Premier League,2015-08-16,Man City,Chelsea,1,0,H,3,0,H,2.1,3.5,3.75,
19,Premier League,2015-08-17,Liverpool,Bournemouth,1,0,H,1,0,H,1.45,4.75,8.0,
20,Premier League,2015-08-22,Crystal Palace,Aston Villa,0,0,D,2,1,H,1.85,3.6,4.75,
21,Premier League,2015-08-22,Leicester,Tottenham,0,0,D,1,1,D,2.63,3.6,2.75,
22,Premier League,2015-08-22,Man United,Newcastle,0,0,D,0,0,D,1.36,5.25,10.0,
23,Premier League,2015-08-22,Norwich,Stoke,1,1,D,1,1,D,2.3,3.3,3.5,
24,Premier League,2015-08-22,Sunderland,Swansea,0,1,A,1,1,D,4.0,3.4,2.1,
25,Premier League,2015-08-22,West Ham,Bournemouth,0,2,A,3,4,A,2.38,3.4,3.2,
26,Premier League,2015-08-23,Everton,Man City,0,0,D,0,2,A,5.0,4.0,1.73,
27,Premier League,2015-08-23,Watford,Southampton,0,0,D,0,0,D,2.8,3.3,2.75,
28,Premier League,2015-08-23,West Brom,Chelsea,1,3,A,2,3,A,6.5,4.0,1.62,
29,Premier League,2015-08-24,Arsenal,Liverpool,0,0,D,0,0,D,1.75,4.0,5.0,
30,Premier League,2015-08-29,Aston Villa,Sunderland,2,1,H,2,2,D,1.91,3.5,4.75,
31,Premier League,2015-08-29,Bournemouth,Leicester,1,0,H,1,1,D,2.2,3.6,3.4,
32,Premier League,2015-08-29,Chelsea,Crystal Palace,0,0,D,1,2,A,1.36,5.0,11.0,
33,Premier League,2015-08-29,Liverpool,West Ham,0,2,A,0,3,A,1.36,5.5,9.0,
34,Premier League,2015-08-29,Man City,Watford,0,0,D,2,0,H,1.2,8.0,15.0,
35,Premier League,2015-08-29,Newcastle,Arsenal,0,0,D,0,1,A,6.0,4.2,1.62,
36,Premier League,2015-08-29,Stoke,West Brom,0,1,A,0,1,A,1.95,3.4,4.5,
37,Premier League,2015-08-29,Tottenham,Everton,0,0,D,0,0,D,2.0,3.5,4.2,
38,Premier League,2015-08-30,Southampton,Norwich,1,0,H,3,0,H,2.05,3.5,4.0,
39,Premier League,2015-08-30,Swansea,Man United,0,0,D,2,1,H,3.6,3.3,2.25,
40,Premier League,2015-12-09,Arsenal,Stoke,1,0,H,2,0,H,1.29,6.0,12.0,
41,Premier League,2015-12-09,Crystal Palace,Man City,0,0,D,0,1,A,5.5,4.2,1.67,
42,Premier League,2015-12-09,Everton,Chelsea,2,1,H,3,1,H,4.0,3.6,2.0,
43,Premier League,2015-12-09,Man United,Liverpool,0,0,D,3,1,H,2.0,3.4,4.33,
44,Premier League,2015-12-09,Norwich,Bournemouth,1,0,H,3,1,H,2.4,3.4,3.2,
45,Premier League,2015-12-09,Watford,Swansea,0,0,D,1,0,H,2.75,3.4,2.75,
46,Premier League,2015-12-09,West Brom,Southampton,0,0,D,0,0,D,3.2,3.2,2.5,
47,Premier League,2015-09-13,Leicester,Aston Villa,0,1,A,3,2,H,1.91,3.75,4.33,
48,Premier League,2015-09-13,Sunderland,Tottenham,0,0,D,0,1,A,4.33,3.6,1.95,
49,Premier League,2015-09-14,West Ham,Newcastle,1,0,H,2,0,H,2.25,3.5,3.4,
50,Premier League,2015-09-19,Aston Villa,West Brom,0,1,A,0,1,A,2.3,3.25,3.5,
51,Premier League,2015-09-19,Bournemouth,Sunderland,2,0,H,2,0,H,1.7,4.0,5.5,
52,Premier League,2015-09-19,Chelsea,Arsenal,0,0,D,2,0,H,2.45,3.5,3.0,
53,Premier League,2015-09-19,Man City,West Ham,1,2,A,1,2,A,1.29,6.5,11.0,
54,Premier League,2015-09-19,Newcastle,Watford,0,2,A,1,2,A,2.5,3.3,3.1,
55,Premier League,2015-09-19,Stoke,Leicester,2,0,H,2,2,D,2.5,3.4,3.0,
56,Premier League,2015-09-19,Swansea,Everton,0,0,D,0,0,D,2.3,3.4,3.4,
57,Premier League,2015-09-20,Liverpool,Norwich,0,0,D,1,1,D,1.67,4.0,5.75,
58,Premier League,2015-09-20,Southampton,Man United,1,1,D,2,3,A,3.1,3.3,2.5,
59,Premier League,2015-09-20,Tottenham,Crystal Palace,0,0,D,1,0,H,2.0,3.6,4.0,
